ticker,years_outperformed,investment_value,outperformed_spy
SPY,0,323.2320946626137,False
IVV,8,323.388358798558,True
VOO,9,325.34174735166965,True
VTI,2,308.8463947295165,False
QQQ,6,498.9805019856997,True
IWM,2,209.03997925371925,False
DIA,4,283.6189111444395,False
GLD,4,204.5231447925036,False
SLV,4,181.30377948524685,False
TLT,1,97.23030921298678,False
USO,2,48.02979223036859,False
VUG,7,395.90910490342975,True
VTV,2,258.4491450924193,False
XLF,3,266.6104865388466,False
XLK,8,608.3241820093491,True
XLE,3,167.30141762687154,False
XLV,3,264.23672590204836,False
XLI,3,272.7911549557838,False
XLP,2,219.75911672065368,False
XLY,5,289.8024867114352,False
XLC,3,185.24212459393755,False
XLU,3,217.1781169977447,False
XLRE,4,194.788755746451,False
LQD,2,128.2606591743784,False
HYG,3,145.92259452539395,False
TIP,2,124.4013905666147,False
SHY,2,112.47194039008026,False
AGG,2,116.25647016181759,False
IYR,2,172.96860896813638,False
ARKK,6,249.7802493741545,False
ARKG,4,135.4226968103012,False
ARKF,2,142.76851743725598,False
REMX,4,72.10583622755577,False
PBW,3,90.5481159107144,False
TAN,4,134.02536817331696,False
ICLN,4,175.09855894809698,False
XBI,3,163.42827336877755,False
IBB,3,147.54750077713885,False
VDE,3,157.10053138964122,False
XME,3,225.89574803219264,False
SOXX,7,824.2252910670841,True
SMH,7,999.3741583960899,True
MOO,3,164.99303298123854,False
FDN,5,330.48162966358416,True
HACK,3,268.5767652689567,False
BOTZ,4,222.39900044377632,False
ROBO,3,219.0662854066617,False
FTEC,9,597.4727298450315,True
XLV,3,264.2197233859356,False
IHI,5,324.11118064693466,True
IBB,3,147.54746702736168,False
XBI,3,163.43639774159112,False
FTEC,9,597.4727298450315,True
VO,3,239.83058352974788,False
VB,3,229.84395656450673,False
VNQ,2,168.79442674913903,False
VNQI,1,118.6885030474599,False
VYM,2,246.92836372080814,False
SCHD,3,284.77950750594044,False
VIG,3,289.2967677128682,False
DVY,3,231.8542043372873,False
SPHD,3,217.23095169410564,False
JNK,3,144.92418473692626,False
BND,2,117.11214046368256,False
BSV,2,117.13230620904586,False
VGIT,2,113.09361574691835,False
VCIT,2,131.68740758286557,False
BNDX,2,118.81759928017756,False
EMB,2,131.9200065074418,False
IEF,2,110.27441031055582,False
GDX,5,226.02084559455884,False
GDXJ,5,212.223896902012,False
IAU,4,207.34782011612603,False
OIH,2,48.91893985439659,False
KBE,4,198.2562913159178,False
KRE,4,176.9702678334508,False
IAT,3,174.56383470097342,False
MUB,3,122.66645068295317,False
PFF,3,138.0718930187025,False
REM,2,121.04447170673396,False
SRLN,2,143.36805407766298,False
SPHD,3,217.20883306772842,False
VCSH,2,125.17606056680737,False
VGSH,2,113.24220814707304,False
MGK,7,426.0591073510655,True
MTUM,6,324.9035470368756,True
QUAL,5,331.6205927354633,True
VLUE,2,206.81292145181547,False
SPLV,3,227.53659890828976,False
SPMV,3,216.8917407547132,False
EFAV,3,164.9190035378331,False
EFA,2,180.34855139297642,False
VEA,2,184.45453767080167,False
VWO,3,148.13071129198886,False
SCZ,2,181.47346810036083,False
VSS,1,166.9964956551033,False
IEMG,1,149.92243870525016,False
EMXC,0,140.23249214333146,False
FRDM,1,156.84355374328635,False
SCHB,3,307.35550187259844,False
SCHX,5,319.00284068019766,False
SCHA,2,211.26274434424377,False
SCHM,2,230.59234768609304,False
SCHV,2,228.67835138287091,False
SCHG,7,425.53161515885563,True
FNDX,3,283.6703894357183,False
FNDA,3,224.94818483722864,False
FNDB,3,280.4201831322127,False
FNDX,3,283.6703894357183,False
FNDF,2,188.89999593454897,False
SCHF,2,182.18838583414544,False
SCHE,3,147.4763816922838,False
SCHC,2,164.60724009677656,False
SCHF,2,182.18837028844322,False
BIV,2,120.8090031995922,False
BLV,1,116.450074046892,False
VGSH,2,113.24216654584029,False
VBK,3,222.35847471316933,False
VBR,2,226.7054491427829,False
IWF,7,422.23363917125135,True
IWD,2,220.80994252246217,False
VIG,3,289.28199839229006,False
VTIP,2,127.1632546833001,False
VNQI,1,118.6884790522111,False
VPL,3,176.81004020662462,False
VGK,2,186.1099820941302,False
VSS,1,166.98296606343405,False
IXUS,2,173.2681584498189,False
ACWI,1,242.195150209416,False
VYMI,2,196.577586125834,False
DWX,2,140.49702570493648,False
HDV,3,218.05401728926276,False
SPHD,3,217.20872294570185,False
GUNR,2,179.5850054306215,False
PPA,6,352.7257929742027,True
VGT,9,611.5400299749653,True
VOX,5,196.7165527909097,False
VIGI,2,207.02976316834398,False
BIZD,3,228.7597753996634,False
FTSM,2,119.97854542527051,False
Ticker,0,0.0,False
SPY,6,323.2147286947001,True
VOO,9,325.3166945909274,True
VTI,2,308.84634220997856,False
QQQ,6,498.8966412824218,True
IVV,8,323.3729413083943,True
VEA,2,184.45103119471977,False
IEFA,2,184.11381261141184,False
AGG,2,116.26331124007412,False
VWO,3,148.1263618877384,False
BND,2,117.10429678098954,False
VIG,3,289.28196548713356,False
IJR,2,234.36258816760764,False
VNQ,2,168.7857557166048,False
VXUS,2,173.46765076160403,False
VEU,2,174.58869497574273,False
DIA,4,283.60173547646804,False
XLF,3,267.86666689485565,False
XLE,3,167.31326117386075,False
XLK,8,608.3240550786134,True
XLV,3,264.228271917252,False
VGT,9,611.539832092035,True
VHT,5,259.0902434413734,False
VFH,3,267.23012336743096,False
VCR,5,310.6354795051303,False
VDC,2,222.71130950290993,False
VPU,3,215.17781558531195,False
VAW,4,226.70616638398718,False
VIS,2,272.89094190567124,False
VDE,3,157.10050160510792,False
EEM,2,137.777574247112,False
EFA,2,180.33766426914877,False
LQD,2,128.2607376669955,False
TLT,1,97.23031657995124,False
GLD,4,204.52751858628284,False
SLV,4,181.30377948524685,False
USO,2,48.05178571565564,False
UNG,3,5.468750049803346,False
VYM,2,246.93815532968526,False
SCHD,3,284.7964518214672,False
HDV,3,217.24045377396894,False
RSP,3,256.0625502425316,False
SPLV,3,227.5246552625098,False
USMV,3,267.0413581013371,False
MTUM,6,324.8459170063432,True
QUAL,5,331.6359168093626,True
SIZE,3,259.7239460070947,False
IWM,2,209.08772556196104,False
MDY,2,240.79025829741698,False
IJH,2,246.11780032816637,False
VB,3,229.88357993310632,False
VO,3,239.79788302279243,False
VV,5,322.7915059517514,False
VUG,7,395.8878756440127,True
VTV,2,258.434099775241,False
IWF,7,422.23363917125135,True
IWD,2,220.80994252246217,False
SCZ,2,181.45971508561578,False
VSS,1,166.98298328736723,False
VGK,2,186.10992615847127,False
EWJ,3,185.93985775403445,False
MCHI,2,98.4464860967293,False
EWZ,3,135.2969825186898,False
EWC,2,172.244990256826,False
EWA,1,176.88933946810238,False
RSX,3,57.519569291077055,False
EPI,3,256.54124022296503,False
THD,3,104.64831816893326,False
ARKK,6,249.8351529918346,False
ARKG,4,135.47339909447635,False
ARKW,6,487.48223006378817,True
ARKF,2,142.72418233036,False
ICLN,4,175.09855894809698,False
TAN,4,134.18694345100056,False
FAN,4,204.55063754892876,False
PBW,3,90.54810793810343,False
ROBO,3,219.12222248042585,False
BOTZ,4,222.39830676490575,False
SKYY,6,353.7407382438856,True
CIBR,3,309.4883282527276,False
SOCL,4,224.38280340878626,False
GAMR,3,269.51314136634755,False
FINX,5,193.74366728208534,False
IBUY,4,220.82456554429143,False
JETS,2,79.84207044979853,False
AWAY,0,77.01357566575045,False
REMX,4,72.10583622755577,False
LIT,3,189.80850965350322,False
COPX,4,234.52646585477655,False
SIL,4,134.5116816657054,False
GDXJ,5,212.26887396191034,False
XME,3,225.80223468924112,False
KRE,4,177.00140652728047,False
XHB,7,374.7763799913537,True
ITB,7,493.76277913322076,True
XRT,2,188.89269039715245,False
XBI,3,163.46068223819205,False
IBB,3,147.59743874004798,False
IYR,2,173.01220910182394,False
SCHH,3,146.42970263625458,False
IEMG,1,149.9224230317399,False
VXF,2,231.42850454277996,False
VTEB,3,122.55490914377974,False
BNDX,2,118.81767490333243,False
MUB,3,122.67219580111201,False
HYG,3,145.9962060106435,False
JNK,3,144.92008940642646,False
VCIT,2,131.6869157185424,False
VCSH,2,125.17791359374569,False
SHY,2,112.47329759094772,False
IEF,2,110.26880416550964,False
GOVT,2,109.54819707650294,False
VTIP,2,127.16300927683774,False
TIP,2,124.41278690094583,False
PDBC,3,131.85257728581195,False
DBC,3,133.39051439886515,False
USCI,2,127.63923427323238,False
GSG,2,100.44769662477479,False
SGOL,4,207.31689239910418,False
PPLT,1,75.67985026306914,False
PALL,6,115.69186665587543,False
URA,4,154.8348535869843,False
CORN,3,65.63029013740834,False
WEAT,2,38.43700308073309,False
SOYB,2,105.6968164533763,False
COW,2,79.1081298613736,False
FXI,1,80.06583263410329,False
KWEB,4,89.01868158377614,False
ASHR,3,89.4597267672086,False
EWY,2,143.0877352477752,False
EWT,6,288.934589782042,False
EWS,2,116.99064296919258,False
EWM,3,94.13652911579649,False
THD,3,104.64832491240116,False
EPHE,1,80.40911269324673,False
EWW,2,112.74258240538593,False
ECH,3,91.3148377303171,False
EPOL,2,127.99002464559834,False
TUR,2,90.53475251918509,False
